"GEO_ID","NAME","S1901_C01_001E","S1901_C01_001M","S1901_C01_002E","S1901_C01_002M","S1901_C01_003E","S1901_C01_003M","S1901_C01_004E","S1901_C01_004M","S1901_C01_005E","S1901_C01_005M","S1901_C01_006E","S1901_C01_006M","S1901_C01_007E","S1901_C01_007M","S1901_C01_008E","S1901_C01_008M","S1901_C01_009E","S1901_C01_009M","S1901_C01_010E","S1901_C01_010M","S1901_C01_011E","S1901_C01_011M","S1901_C01_012E","S1901_C01_012M","S1901_C01_013E","S1901_C01_013M","S1901_C01_014E","S1901_C01_014M","S1901_C01_015E","S1901_C01_015M","S1901_C01_016E","S1901_C01_016M","S1901_C02_001E","S1901_C02_001M","S1901_C02_002E","S1901_C02_002M","S1901_C02_003E","S1901_C02_003M","S1901_C02_004E","S1901_C02_004M","S1901_C02_005E","S1901_C02_005M","S1901_C02_006E","S1901_C02_006M","S1901_C02_007E","S1901_C02_007M","S1901_C02_008E","S1901_C02_008M","S1901_C02_009E","S1901_C02_009M","S1901_C02_010E","S1901_C02_010M","S1901_C02_011E","S1901_C02_011M","S1901_C02_012E","S1901_C02_012M","S1901_C02_013E","S1901_C02_013M","S1901_C02_014E","S1901_C02_014M","S1901_C02_015E","S1901_C02_015M","S1901_C02_016E","S1901_C02_016M","S1901_C03_001E","S1901_C03_001M","S1901_C03_002E","S1901_C03_002M","S1901_C03_003E","S1901_C03_003M","S1901_C03_004E","S1901_C03_004M","S1901_C03_005E","S1901_C03_005M","S1901_C03_006E","S1901_C03_006M","S1901_C03_007E","S1901_C03_007M","S1901_C03_008E","S1901_C03_008M","S1901_C03_009E","S1901_C03_009M","S1901_C03_010E","S1901_C03_010M","S1901_C03_011E","S1901_C03_011M","S1901_C03_012E","S1901_C03_012M","S1901_C03_013E","S1901_C03_013M","S1901_C03_014E","S1901_C03_014M","S1901_C03_015E","S1901_C03_015M","S1901_C03_016E","S1901_C03_016M","S1901_C04_001E","S1901_C04_001M","S1901_C04_002E","S1901_C04_002M","S1901_C04_003E","S1901_C04_003M","S1901_C04_004E","S1901_C04_004M","S1901_C04_005E","S1901_C04_005M","S1901_C04_006E","S1901_C04_006M","S1901_C04_007E","S1901_C04_007M","S1901_C04_008E","S1901_C04_008M","S1901_C04_009E","S1901_C04_009M","S1901_C04_010E","S1901_C04_010M","S1901_C04_011E","S1901_C04_011M","S1901_C04_012E","S1901_C04_012M","S1901_C04_013E","S1901_C04_013M","S1901_C04_014E","S1901_C04_014M","S1901_C04_015E","S1901_C04_015M","S1901_C04_016E","S1901_C04_016M",
"Geography","Geographic Area Name","Estimate!!Households!!Total","Margin of Error!!Households!!Total","Estimate!!Households!!Total!!Less than $10,000","Margin of Error!!Households!!Total!!Less than $10,000","Estimate!!Households!!Total!!$10,000 to $14,999","Margin of Error!!Households!!Total!!$10,000 to $14,999","Estimate!!Households!!Total!!$15,000 to $24,999","Margin of Error!!Households!!Total!!$15,000 to $24,999","Estimate!!Households!!Total!!$25,000 to $34,999","Margin of Error!!Households!!Total!!$25,000 to $34,999","Estimate!!Households!!Total!!$35,000 to $49,999","Margin of Error!!Households!!Total!!$35,000 to $49,999","Estimate!!Households!!Total!!$50,000 to $74,999","Margin of Error!!Households!!Total!!$50,000 to $74,999","Estimate!!Households!!Total!!$75,000 to $99,999","Margin of Error!!Households!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Margin of Error!!Households!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Margin of Error!!Households!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more","Margin of Error!!Households!!Total!!$200,000 or more","Estimate!!Households!!Median income (dollars)","Margin of Error!!Households!!Median income (dollars)","Estimate!!Households!!Mean income (dollars)","Margin of Error!!Households!!Mean income (dollars)","Estimate!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Families!!Total","Margin of Error!!Families!!Total","Estimate!!Families!!Total!!Less than $10,000","Margin of Error!!Families!!Total!!Less than $10,000","Estimate!!Families!!Total!!$10,000 to $14,999","Margin of Error!!Families!!Total!!$10,000 to $14,999","Estimate!!Families!!Total!!$15,000 to $24,999","Margin of Error!!Families!!Total!!$15,000 to $24,999","Estimate!!Families!!Total!!$25,000 to $34,999","Margin of Error!!Families!!Total!!$25,000 to $34,999","Estimate!!Families!!Total!!$35,000 to $49,999","Margin of Error!!Families!!Total!!$35,000 to $49,999","Estimate!!Families!!Total!!$50,000 to $74,999","Margin of Error!!Families!!Total!!$50,000 to $74,999","Estimate!!Families!!Total!!$75,000 to $99,999","Margin of Error!!Families!!Total!!$75,000 to $99,999","Estimate!!Families!!Total!!$100,000 to $149,999","Margin of Error!!Families!!Total!!$100,000 to $149,999","Estimate!!Families!!Total!!$150,000 to $199,999","Margin of Error!!Families!!Total!!$150,000 to $199,999","Estimate!!Families!!Total!!$200,000 or more","Margin of Error!!Families!!Total!!$200,000 or more","Estimate!!Families!!Median income (dollars)","Margin of Error!!Families!!Median income (dollars)","Estimate!!Families!!Mean income (dollars)","Margin of Error!!Families!!Mean income (dollars)","Estimate!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Married-couple families!!Total","Margin of Error!!Married-couple families!!Total","Estimate!!Married-couple families!!Total!!Less than $10,000","Margin of Error!!Married-couple families!!Total!!Less than $10,000","Estimate!!Married-couple families!!Total!!$10,000 to $14,999","Margin of Error!!Married-couple families!!Total!!$10,000 to $14,999","Estimate!!Married-couple families!!Total!!$15,000 to $24,999","Margin of Error!!Married-couple families!!Total!!$15,000 to $24,999","Estimate!!Married-couple families!!Total!!$25,000 to $34,999","Margin of Error!!Married-couple families!!Total!!$25,000 to $34,999","Estimate!!Married-couple families!!Total!!$35,000 to $49,999","Margin of Error!!Married-couple families!!Total!!$35,000 to $49,999","Estimate!!Married-couple families!!Total!!$50,000 to $74,999","Margin of Error!!Married-couple families!!Total!!$50,000 to $74,999","Estimate!!Married-couple families!!Total!!$75,000 to $99,999","Margin of Error!!Married-couple families!!Total!!$75,000 to $99,999","Estimate!!Married-couple families!!Total!!$100,000 to $149,999","Margin of Error!!Married-couple families!!Total!!$100,000 to $149,999","Estimate!!Married-couple families!!Total!!$150,000 to $199,999","Margin of Error!!Married-couple families!!Total!!$150,000 to $199,999","Estimate!!Married-couple families!!Total!!$200,000 or more","Margin of Error!!Married-couple families!!Total!!$200,000 or more","Estimate!!Married-couple families!!Median income (dollars)","Margin of Error!!Married-couple families!!Median income (dollars)","Estimate!!Married-couple families!!Mean income (dollars)","Margin of Error!!Married-couple families!!Mean income (dollars)","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Nonfamily households!!Total","Margin of Error!!Nonfamily households!!Total","Estimate!!Nonfamily households!!Total!!Less than $10,000","Margin of Error!!Nonfamily households!!Total!!Less than $10,000","Estimate!!Nonfamily households!!Total!!$10,000 to $14,999","Margin of Error!!Nonfamily households!!Total!!$10,000 to $14,999","Estimate!!Nonfamily households!!Total!!$15,000 to $24,999","Margin of Error!!Nonfamily households!!Total!!$15,000 to $24,999","Estimate!!Nonfamily households!!Total!!$25,000 to $34,999","Margin of Error!!Nonfamily households!!Total!!$25,000 to $34,999","Estimate!!Nonfamily households!!Total!!$35,000 to $49,999","Margin of Error!!Nonfamily households!!Total!!$35,000 to $49,999","Estimate!!Nonfamily households!!Total!!$50,000 to $74,999","Margin of Error!!Nonfamily households!!Total!!$50,000 to $74,999","Estimate!!Nonfamily households!!Total!!$75,000 to $99,999","Margin of Error!!Nonfamily households!!Total!!$75,000 to $99,999","Estimate!!Nonfamily households!!Total!!$100,000 to $149,999","Margin of Error!!Nonfamily households!!Total!!$100,000 to $149,999","Estimate!!Nonfamily households!!Total!!$150,000 to $199,999","Margin of Error!!Nonfamily households!!Total!!$150,000 to $199,999","Estimate!!Nonfamily households!!Total!!$200,000 or more","Margin of Error!!Nonfamily households!!Total!!$200,000 or more","Estimate!!Nonfamily households!!Median income (dollars)","Margin of Error!!Nonfamily households!!Median income (dollars)","Estimate!!Nonfamily households!!Mean income (dollars)","Margin of Error!!Nonfamily households!!Mean income (dollars)","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months",
"0400000US01","Alabama","2016448","11475","7.6","0.3","5.2","0.3","9.3","0.3","8.6","0.5","12.0","0.4","16.7","0.5","12.6","0.4","14.9","0.5","6.4","0.3","6.7","0.3","59674","727","82956","1020","38.9","(X)","(X)","(X)","(X)","(X)","1308988","13948","4.4","0.4","3.0","0.3","6.0","0.4","6.9","0.5","10.7","0.5","17.3","0.5","14.4","0.5","19.4","0.7","8.7","0.4","9.2","0.5","77668","1070","100785","1464","(X)","(X)","40.8","(X)","(X)","(X)","941596","14004","1.7","0.2","1.1","0.2","3.4","0.3","4.9","0.4","8.4","0.5","17.2","0.6","16.5","0.6","23.6","0.9","11.2","0.6","12.1","0.6","94370","1174","118799","1673","(X)","(X)","(X)","(X)","(X)","(X)","707460","14662","14.3","0.8","9.8","0.6","15.9","0.7","12.5","0.8","14.5","0.7","15.7","1.0","8.1","0.6","5.7","0.5","1.9","0.3","1.6","0.3","32330","919","47145","1778","(X)","(X)","(X)","(X)","34.2","(X)",
"0400000US02","Alaska","274574","3261","4.4","0.7","2.5","0.4","5.4","0.8","5.3","0.6","9.1","0.8","15.8","1.3","13.2","1.0","21.8","1.4","11.1","1.0","11.4","1.1","88121","2804","109524","2730","35.9","(X)","(X)","(X)","(X)","(X)","175789","4082","3.1","0.7","1.1","0.4","3.8","0.7","3.6","0.5","7.5","1.0","15.0","1.4","12.7","1.3","25.4","1.7","14.0","1.3","14.0","1.2","105329","2285","124663","3539","(X)","(X)","37.7","(X)","(X)","(X)","129511","4096","1.3","0.4","0.8","0.3","2.1","0.6","2.8","0.6","4.8","1.0","13.2","1.6","13.6","1.6","27.2","1.9","16.6","1.5","17.6","1.5","115920","3720","141287","4407","(X)","(X)","(X)","(X)","(X)","(X)","98785","4167","7.9","1.5","5.3","1.0","9.1","1.5","8.6","1.4","13.1","1.6","18.0","2.1","13.1","1.5","15.9","2.2","4.7","1.1","4.3","1.4","57657","5211","74242","4733","(X)","(X)","(X)","(X)","30.3","(X)",
"0400000US04","Arizona","2850377","11519","5.4","0.3","3.0","0.2","6.2","0.3","7.3","0.3","11.0","0.4","17.3","0.4","13.8","0.4","17.8","0.4","8.6","0.3","9.6","0.3","74568","932","101316","1391","38.9","(X)","(X)","(X)","(X)","(X)","1843530","15179","3.7","0.3","1.5","0.2","3.9","0.3","5.9","0.3","9.7","0.4","16.8","0.5","15.1","0.5","20.8","0.5","10.3","0.4","12.3","0.4","88679","1187","116717","1822","(X)","(X)","40.8","(X)","(X)","(X)","1332270","14065","2.0","0.2","0.9","0.2","2.8","0.3","3.9","0.3","7.7","0.4","15.3","0.5","15.3","0.6","23.5","0.6","12.7","0.5","15.7","0.6","103182","1250","133297","1904","(X)","(X)","(X)","(X)","(X)","(X)","1006847","15822","9.9","0.6","5.9","0.5","10.8","0.5","10.9","0.6","14.7","0.7","18.5","0.8","10.8","0.6","10.8","0.6","4.1","0.3","3.8","0.4","47840","1067","66724","1965","(X)","(X)","(X)","(X)","33.6","(X)",
"0400000US05","Arkansas","1216207","8435","7.3","0.5","5.9","0.4","9.5","0.4","9.1","0.4","13.5","0.5","18.1","0.6","12.6","0.4","13.4","0.5","5.1","0.3","5.5","0.4","55432","994","76853","1172","38.4","(X)","(X)","(X)","(X)","(X)","777933","11579","4.5","0.5","2.6","0.3","5.9","0.5","7.6","0.5","13.0","0.7","19.1","0.8","15.4","0.6","17.5","0.8","7.0","0.5","7.4","0.5","70708","1244","92935","1608","(X)","(X)","39.8","(X)","(X)","(X)","572596","10329","1.8","0.3","1.3","0.2","4.2","0.5","5.6","0.5","11.3","0.8","18.6","0.8","17.4","0.8","21.7","1.0","8.8","0.6","9.3","0.7","84273","1309","106939","2188","(X)","(X)","(X)","(X)","(X)","(X)","438274","10059","13.1","1.0","11.8","0.9","16.6","1.0","12.6","0.9","14.9","0.9","15.4","1.1","7.0","0.6","5.4","0.6","1.5","0.4","1.8","0.4","31230","773","45384","1596","(X)","(X)","(X)","(X)","34.4","(X)",
"0400000US06","California","13550586","19485","4.8","0.1","3.2","0.1","5.5","0.1","5.9","0.1","8.5","0.1","13.8","0.2","12.0","0.2","17.6","0.2","10.6","0.1","18.0","0.2","91551","471","131504","672","39.9","(X)","(X)","(X)","(X)","(X)","9150804","33105","3.1","0.1","1.7","0.1","4.2","0.1","5.0","0.1","8.1","0.2","13.4","0.2","12.2","0.2","18.9","0.3","11.9","0.2","21.5","0.2","104823","683","147628","866","(X)","(X)","42.1","(X)","(X)","(X)","6516115","34316","1.6","0.1","1.0","0.1","2.9","0.1","3.5","0.1","6.2","0.2","11.6","0.2","11.8","0.2","20.2","0.3","14.0","0.3","27.3","0.3","126577","854","172535","1184","(X)","(X)","(X)","(X)","(X)","(X)","4399782","33125","9.7","0.2","6.8","0.2","9.1","0.2","8.4","0.2","10.2","0.3","14.8","0.3","11.2","0.3","13.8","0.3","6.8","0.2","9.2","0.2","59348","751","89374","995","(X)","(X)","(X)","(X)","33.3","(X)",
"0400000US08","Colorado","2384584","7807","4.1","0.2","2.5","0.2","5.4","0.3","5.8","0.3","9.2","0.3","15.1","0.5","13.4","0.4","19.0","0.5","10.7","0.4","14.7","0.4","89302","1281","119039","1252","34.0","(X)","(X)","(X)","(X)","(X)","1464182","10863","2.3","0.3","1.1","0.2","3.2","0.3","4.0","0.3","7.1","0.4","13.6","0.5","13.6","0.5","21.9","0.6","13.6","0.6","19.6","0.6","109592","1710","142387","1990","(X)","(X)","35.4","(X)","(X)","(X)","1144446","10963","1.1","0.2","0.7","0.1","2.0","0.2","2.7","0.2","5.4","0.4","11.7","0.5","13.4","0.6","23.5","0.7","15.8","0.7","23.6","0.7","125490","2037","159025","2241","(X)","(X)","(X)","(X)","(X)","(X)","920402","11816","7.7","0.5","4.8","0.4","9.3","0.6","9.3","0.6","13.1","0.7","17.7","0.8","12.9","0.7","13.7","0.7","5.5","0.4","5.9","0.5","57553","1653","77519","1515","(X)","(X)","(X)","(X)","30.8","(X)",
"0400000US09","Connecticut","1433635","7120","5.1","0.4","3.2","0.3","5.9","0.4","6.0","0.3","8.7","0.5","13.8","0.5","12.6","0.6","17.7","0.6","10.8","0.5","16.3","0.5","88429","1688","128160","2313","39.0","(X)","(X)","(X)","(X)","(X)","902539","10832","2.6","0.3","1.7","0.3","3.2","0.4","4.0","0.4","7.0","0.6","12.2","0.5","12.9","0.7","20.1","0.8","14.0","0.7","22.4","0.7","115183","2375","157696","3051","(X)","(X)","41.2","(X)","(X)","(X)","658900","11174","1.2","0.3","0.6","0.2","1.6","0.3","2.2","0.3","4.8","0.5","10.1","0.6","12.4","0.8","21.8","1.0","16.7","0.9","28.7","0.9","139531","2709","185623","3748","(X)","(X)","(X)","(X)","(X)","(X)","531096","11439","9.9","0.8","6.0","0.6","10.9","0.7","9.8","0.7","12.2","0.8","16.8","0.9","11.8","0.8","13.5","1.0","4.5","0.6","4.5","0.6","50964","1374","72770","2549","(X)","(X)","(X)","(X)","33.8","(X)",
"0400000US10","Delaware","402334","3985","4.0","0.6","2.6","0.5","5.8","0.6","7.1","0.7","10.4","0.8","15.9","1.1","13.9","0.9","20.0","1.2","9.4","0.8","10.8","0.8","82174","2002","105438","2965","35.4","(X)","(X)","(X)","(X)","(X)","263885","5988","2.4","0.6","1.8","0.5","2.8","0.5","3.9","0.7","8.4","1.0","15.9","1.3","14.8","1.2","23.5","1.4","12.4","1.1","14.2","1.1","100128","2996","124756","4265","(X)","(X)","37.8","(X)","(X)","(X)","197223","5836","1.2","0.4","1.2","0.6","1.4","0.4","2.6","0.6","6.5","0.9","14.3","1.4","14.3","1.3","26.3","1.8","14.6","1.4","17.7","1.4","112712","3014","139819","4418","(X)","(X)","(X)","(X)","(X)","(X)","138449","5414","8.0","1.4","4.6","1.0","11.7","1.2","13.0","1.8","15.9","1.8","17.2","1.7","12.3","1.6","11.2","1.6","2.9","0.7","3.3","0.8","46579","2718","62657","2400","(X)","(X)","(X)","(X)","29.7","(X)",
"0400000US11","District of Columbia","326970","3481","6.8","1.0","2.8","0.6","5.1","1.0","4.6","0.7","7.0","1.0","12.3","1.2","10.7","1.0","16.6","1.3","10.3","0.8","23.7","1.3","101027","2737","148872","4601","30.6","(X)","(X)","(X)","(X)","(X)","123868","6183","4.3","1.4","1.2","0.6","4.3","1.5","2.8","0.9","5.5","1.6","9.5","1.9","7.3","1.6","15.5","2.4","11.9","1.4","37.6","2.3","146477","13498","202466","8584","(X)","(X)","40.5","(X)","(X)","(X)","77550","4586","0.9","0.5","0.1","0.1","2.1","1.1","2.0","0.9","2.1","1.0","5.3","1.6","6.1","1.9","14.0","2.7","13.8","1.8","53.6","2.9","213692","9982","265991","12072","(X)","(X)","(X)","(X)","(X)","(X)","203102","6189","8.6","1.4","3.8","0.8","5.7","1.2","5.8","1.0","8.2","1.3","14.0","1.5","13.1","1.4","16.9","1.5","9.7","1.1","14.1","1.4","82505","3796","112447","5167","(X)","(X)","(X)","(X)","24.0","(X)",
